,登入日期,登入時間(以小時為單位),登入成功次數
1192,2021/10/1,0,20722
2720,2021/10/1,1,11342
7030,2021/10/1,2,6698
310,2021/10/1,3,4633
4780,2021/10/1,4,3611
7801,2021/10/1,5,4931
2104,2021/10/1,6,11170
3249,2021/10/1,7,26319
7600,2021/10/1,8,34063
1347,2021/10/1,9,48444
9364,2021/10/1,10,48656
3030,2021/10/1,11,49474
5732,2021/10/1,12,52934
597,2021/10/1,13,51437
3395,2021/10/1,14,44716
7100,2021/10/1,15,49399
728,2021/10/1,16,46019
6342,2021/10/1,17,35757
8538,2021/10/1,18,32815
1479,2021/10/1,19,33730
8668,2021/10/1,20,33245
2401,2021/10/1,21,32633
6115,2021/10/1,22,30635
8275,2021/10/1,23,24441
2477,2021/10/10,0,18405
7502,2021/10/10,1,11702
337,2021/10/10,2,7275
5427,2021/10/10,3,4642
7835,2021/10/10,4,3387
1161,2021/10/10,5,3567
5938,2021/10/10,6,5388
8973,2021/10/10,7,8663
2790,2021/10/10,8,12680
5312,2021/10/10,9,16940
2919,2021/10/10,10,20118
4433,2021/10/10,11,21223
255,2021/10/10,12,21916
3245,2021/10/10,13,21862
7068,2021/10/10,14,22007
1671,2021/10/10,15,22020
3464,2021/10/10,16,22144
8173,2021/10/10,17,21332
1273,2021/10/10,18,21028
4897,2021/10/10,19,21966
3160,2021/10/10,20,23047
6127,2021/10/10,21,24031
443,2021/10/10,22,23914
1925,2021/10/10,23,21506
5190,2021/10/11,0,16355
8754,2021/10/11,1,10630
3626,2021/10/11,2,6711
6473,2021/10/11,3,4198
622,2021/10/11,4,2980
5168,2021/10/11,5,2841
7255,2021/10/11,6,4477
1467,2021/10/11,7,7430
4493,2021/10/11,8,11517
7288,2021/10/11,9,16710
6090,2021/10/11,10,20668
7834,2021/10/11,11,22896
2738,2021/10/11,12,22747
6345,2021/10/11,13,25130
83,2021/10/11,14,23886
4112,2021/10/11,15,24492
7334,2021/10/11,16,25155
342,2021/10/11,17,25027
3255,2021/10/11,18,24858
5545,2021/10/11,19,26521
6617,2021/10/11,20,28297
9398,2021/10/11,21,29456
2035,2021/10/11,22,27780
5704,2021/10/11,23,22726
8096,2021/10/12,0,16709
2984,2021/10/12,1,10948
4240,2021/10/12,2,7068
8830,2021/10/12,3,4007
3616,2021/10/12,4,3072
5857,2021/10/12,5,3838
646,2021/10/12,6,8043
3612,2021/10/12,7,24239
6681,2021/10/12,8,30938
208,2021/10/12,9,51157
8004,2021/10/12,10,53681
453,2021/10/12,11,53534
6207,2021/10/12,12,54995
7063,2021/10/12,13,55192
1031,2021/10/12,14,49587
7873,2021/10/12,15,47935
9154,2021/10/12,16,44411
3491,2021/10/12,17,39458
6822,2021/10/12,18,36700
385,2021/10/12,19,38051
8041,2021/10/12,20,38199
2511,2021/10/12,21,39026
7370,2021/10/12,22,36432
8298,2021/10/12,23,28293
2558,2021/10/13,0,18976
3238,2021/10/13,1,11259
6849,2021/10/13,2,6699
1757,2021/10/13,3,4465
6004,2021/10/13,4,3402
9259,2021/10/13,5,4213
3306,2021/10/13,6,9712
6455,2021/10/13,7,27200
8540,2021/10/13,8,30605
3299,2021/10/13,9,45119
487,2021/10/13,10,45675
3807,2021/10/13,11,46222
8600,2021/10/13,12,47205
1957,2021/10/13,13,45830
6015,2021/10/13,14,42251
9261,2021/10/13,15,45222
1699,2021/10/13,16,37102
5398,2021/10/13,17,33957
9387,2021/10/13,18,32508
4203,2021/10/13,19,34531
670,2021/10/13,20,34498
6114,2021/10/13,21,35129
7227,2021/10/13,22,33275
636,2021/10/13,23,26524
3236,2021/10/14,0,17316
5591,2021/10/14,1,10318
524,2021/10/14,2,6092
5478,2021/10/14,3,3945
6594,2021/10/14,4,3128
1493,2021/10/14,5,4047
6251,2021/10/14,6,9350
8683,2021/10/14,7,27778
1447,2021/10/14,8,30065
5197,2021/10/14,9,42797
3213,2021/10/14,10,42687
8474,2021/10/14,11,42233
998,2021/10/14,12,43075
6480,2021/10/14,13,42146
7978,2021/10/14,14,38746
2928,2021/10/14,15,45364
3485,2021/10/14,16,36965
9180,2021/10/14,17,34716
2476,2021/10/14,18,30929
4484,2021/10/14,19,32206
4457,2021/10/14,20,32783
7492,2021/10/14,21,33280
943,2021/10/14,22,31826
3707,2021/10/14,23,26095
6812,2021/10/15,0,17724
247,2021/10/15,1,10930
2888,2021/10/15,2,6559
8554,2021/10/15,3,4312
392,2021/10/15,4,3602
4831,2021/10/15,5,5084
8438,2021/10/15,6,11704
1789,2021/10/15,7,28854
4058,2021/10/15,8,32346
7527,2021/10/15,9,47031
6897,2021/10/15,10,50376
504,2021/10/15,11,47226
4073,2021/10/15,12,35947
5520,2021/10/15,13,55727
301,2021/10/15,14,47107
4870,2021/10/15,15,46427
7152,2021/10/15,16,37286
708,2021/10/15,17,35114
4682,2021/10/15,18,32144
5742,2021/10/15,19,31803
8144,2021/10/15,20,31375
454,2021/10/15,21,31360
3826,2021/10/15,22,29189
5915,2021/10/15,23,24743
8944,2021/10/16,0,17884
3718,2021/10/16,1,11463
7183,2021/10/16,2,6966
9390,2021/10/16,3,4392
3809,2021/10/16,4,3315
7106,2021/10/16,5,3496
1092,2021/10/16,6,5971
3642,2021/10/16,7,10073
8081,2021/10/16,8,14498
821,2021/10/16,9,19046
8654,2021/10/16,10,22254
3513,2021/10/16,11,23212
5060,2021/10/16,12,23258
128,2021/10/16,13,22971
1321,2021/10/16,14,23090
6568,2021/10/16,15,23528
6492,2021/10/16,16,22625
3920,2021/10/16,17,22273
7981,2021/10/16,18,21365
1235,2021/10/16,19,22299
9189,2021/10/16,20,22517
2204,2021/10/16,21,22845
5597,2021/10/16,22,21937
9101,2021/10/16,23,18595
1158,2021/10/17,0,73
2967,2021/10/17,6,3977
4595,2021/10/17,7,7756
8409,2021/10/17,8,11348
3096,2021/10/17,9,15824
1458,2021/10/17,10,19501
3095,2021/10/17,11,21584
8525,2021/10/17,12,21724
2571,2021/10/17,13,21545
7246,2021/10/17,14,21559
7689,2021/10/17,15,21984
1761,2021/10/17,16,22197
6900,2021/10/17,17,22461
9106,2021/10/17,18,22374
1677,2021/10/17,19,24170
295,2021/10/17,20,25483
4646,2021/10/17,21,27028
8972,2021/10/17,22,26430
2068,2021/10/17,23,22383
3478,2021/10/18,0,17786
8101,2021/10/18,1,11096
2134,2021/10/18,2,7328
5211,2021/10/18,3,4067
8135,2021/10/18,4,3040
1556,2021/10/18,5,3452
4913,2021/10/18,6,7697
8230,2021/10/18,7,20156
3109,2021/10/18,8,27827
5760,2021/10/18,9,45963
3253,2021/10/18,10,44039
8439,2021/10/18,11,46916
1828,2021/10/18,12,53319
5274,2021/10/18,13,31815
9183,2021/10/18,14,43379
1843,2021/10/18,15,41482
5416,2021/10/18,16,40314
8209,2021/10/18,17,43446
1786,2021/10/18,18,47284
6437,2021/10/18,19,48792
2818,2021/10/18,20,48094
6662,2021/10/18,21,41960
2358,2021/10/18,22,37129
4068,2021/10/18,23,28402
6982,2021/10/19,0,21647
413,2021/10/19,1,9690
4040,2021/10/19,2,6025
8420,2021/10/19,3,3866
1601,2021/10/19,4,3120
4874,2021/10/19,5,4231
7082,2021/10/19,6,10495
1383,2021/10/19,7,24035
4005,2021/10/19,8,32852
7465,2021/10/19,9,45584
7395,2021/10/19,10,46022
159,2021/10/19,11,50216
5811,2021/10/19,12,54252
8022,2021/10/19,13,48296
1780,2021/10/19,14,43145
4311,2021/10/19,15,45238
7997,2021/10/19,16,36018
1387,2021/10/19,17,34864
5572,2021/10/19,18,40343
5988,2021/10/19,19,38819
5141,2021/10/19,20,40191
452,2021/10/19,21,38732
2564,2021/10/19,22,35019
6719,2021/10/19,23,27283
2710,2021/10/2,0,16820
6297,2021/10/2,1,10207
9422,2021/10/2,2,6437
3960,2021/10/2,3,3985
7365,2021/10/2,4,3157
42,2021/10/2,5,3310
4057,2021/10/2,6,6026
6538,2021/10/2,7,10666
846,2021/10/2,8,14849
4496,2021/10/2,9,19967
2120,2021/10/2,10,22979
5414,2021/10/2,11,24022
9236,2021/10/2,12,24178
2261,2021/10/2,13,23524
6268,2021/10/2,14,24655
9158,2021/10/2,15,24252
4285,2021/10/2,16,23465
5634,2021/10/2,17,22832
678,2021/10/2,18,22006
4888,2021/10/2,19,23078
2152,2021/10/2,20,23159
6907,2021/10/2,21,23147
8208,2021/10/2,22,21842
1329,2021/10/2,23,18754
78,2021/10/20,0,19338
2978,2021/10/20,1,11338
5587,2021/10/20,2,6873
924,2021/10/20,3,4409
5537,2021/10/20,4,3557
7732,2021/10/20,5,4967
2411,2021/10/20,6,11733
3883,2021/10/20,7,26685
8252,2021/10/20,8,33475
1247,2021/10/20,9,49033
7955,2021/10/20,10,50352
2494,2021/10/20,11,46834
5967,2021/10/20,12,48265
681,2021/10/20,13,47241
3745,2021/10/20,14,43669
8227,2021/10/20,15,44838
1378,2021/10/20,16,36996
3620,2021/10/20,17,34748
8147,2021/10/20,18,35649
564,2021/10/20,19,40805
7449,2021/10/20,20,36956
1577,2021/10/20,21,38415
5136,2021/10/20,22,34124
9251,2021/10/20,23,26930
2533,2021/10/21,0,18768
5691,2021/10/21,1,10735
8470,2021/10/21,2,6165
3386,2021/10/21,3,4222
5025,2021/10/21,4,3275
500,2021/10/21,5,4464
2610,2021/10/21,6,9696
6882,2021/10/21,7,23141
535,2021/10/21,8,27912
5085,2021/10/21,9,42729
2252,2021/10/21,10,45210
4683,2021/10/21,11,44084
8696,2021/10/21,12,43708
2447,2021/10/21,13,48039
7778,2021/10/21,14,40372
6844,2021/10/21,15,46312
4673,2021/10/21,16,39012
6138,2021/10/21,17,32359
150,2021/10/21,18,30840
4703,2021/10/21,19,31965
1293,2021/10/21,20,32529
5757,2021/10/21,21,32824
8740,2021/10/21,22,30676
2960,2021/10/21,23,24473
3665,2021/10/22,0,16747
8037,2021/10/22,1,9676
2572,2021/10/22,2,5859
3860,2021/10/22,3,3920
7072,2021/10/22,4,3319
2780,2021/10/22,5,4175
4909,2021/10/22,6,8538
8951,2021/10/22,7,21029
2611,2021/10/22,8,27700
8707,2021/10/22,9,39817
5527,2021/10/22,10,42010
8019,2021/10/22,11,41066
1660,2021/10/22,12,41636
4236,2021/10/22,13,41642
7979,2021/10/22,14,38901
3417,2021/10/22,15,37907
5436,2021/10/22,16,33476
7946,2021/10/22,17,30978
2847,2021/10/22,18,28919
5333,2021/10/22,19,28687
3990,2021/10/22,20,28253
7484,2021/10/22,21,27897
1721,2021/10/22,22,25927
3633,2021/10/22,23,21563
6715,2021/10/23,0,15528
2743,2021/10/23,1,9607
3246,2021/10/23,2,5767
6788,2021/10/23,3,3861
1048,2021/10/23,4,520
5855,2021/10/23,5,3390
9002,2021/10/23,6,5461
3942,2021/10/23,7,9202
5144,2021/10/23,8,12889
9099,2021/10/23,9,17437
8188,2021/10/23,10,20607
1167,2021/10/23,11,22163
4270,2021/10/23,12,23280
7070,2021/10/23,13,22172
1809,2021/10/23,14,22758
4200,2021/10/23,15,22840
8653,2021/10/23,16,21595
3232,2021/10/23,17,21117
4436,2021/10/23,18,20645
9052,2021/10/23,19,21450
7684,2021/10/23,20,22078
1356,2021/10/23,21,22358
3875,2021/10/23,22,21035
7016,2021/10/23,23,18325
836,2021/10/24,0,13890
5191,2021/10/24,1,8899
6439,2021/10/24,2,5811
560,2021/10/24,3,3620
3733,2021/10/24,4,2644
6269,2021/10/24,5,2486
1778,2021/10/24,6,3741
5035,2021/10/24,7,6374
8994,2021/10/24,8,9696
2582,2021/10/24,9,14317
137,2021/10/24,10,17872
3781,2021/10/24,11,20245
5790,2021/10/24,12,21445
189,2021/10/24,13,19599
2669,2021/10/24,14,20049
5864,2021/10/24,15,20706
1968,2021/10/24,16,21499
3646,2021/10/24,17,21841
9069,2021/10/24,18,21640
1667,2021/10/24,19,23644
696,2021/10/24,20,24948
2459,2021/10/24,21,26071
7947,2021/10/24,22,25891
7932,2021/10/24,23,22878
2443,2021/10/25,0,16899
8950,2021/10/25,1,10912
9211,2021/10/25,2,7176
2921,2021/10/25,3,3931
6779,2021/10/25,4,3036
50,2021/10/25,5,3708
2136,2021/10/25,6,9006
9213,2021/10/25,7,24286
1958,2021/10/25,8,31675
5260,2021/10/25,9,46501
3413,2021/10/25,10,48411
7863,2021/10/25,11,48833
9,2021/10/25,12,49153
3536,2021/10/25,13,48730
6601,2021/10/25,14,44816
9102,2021/10/25,15,42933
3528,2021/10/25,16,38481
8012,2021/10/25,17,36095
756,2021/10/25,18,34659
3330,2021/10/25,19,35526
2595,2021/10/25,20,36690
5524,2021/10/25,21,36177
7064,2021/10/25,22,33686
2486,2021/10/25,23,26968
3934,2021/10/26,0,17962
8705,2021/10/26,1,10234
4096,2021/10/26,2,6005
5792,2021/10/26,3,3921
8614,2021/10/26,4,3137
3503,2021/10/26,5,3963
6104,2021/10/26,6,9508
683,2021/10/26,7,23329
3054,2021/10/26,8,28215
7632,2021/10/26,9,41697
7175,2021/10/26,10,43522
8099,2021/10/26,11,43154
2692,2021/10/26,12,44719
6047,2021/10/26,13,45153
7578,2021/10/26,14,41291
1886,2021/10/26,15,43210
8049,2021/10/26,16,36388
9166,2021/10/26,17,33518
2963,2021/10/26,18,33212
6476,2021/10/26,19,34446
4339,2021/10/26,20,35170
7150,2021/10/26,21,34770
2762,2021/10/26,22,33181
5263,2021/10/26,23,26713
8346,2021/10/27,0,17390
2606,2021/10/27,1,10076
5439,2021/10/27,2,6166
8559,2021/10/27,3,3954
1815,2021/10/27,4,3260
4414,2021/10/27,5,4381
8069,2021/10/27,6,9346
2632,2021/10/27,7,20956
5985,2021/10/27,8,26716
321,2021/10/27,9,40236
8610,2021/10/27,10,42304
1915,2021/10/27,11,42237
6698,2021/10/27,12,43909
6403,2021/10/27,13,43952
2274,2021/10/27,14,43500
4666,2021/10/27,15,45334
8743,2021/10/27,16,36153
3357,2021/10/27,17,32785
4566,2021/10/27,18,30998
262,2021/10/27,19,32087
8265,2021/10/27,20,33096
3381,2021/10/27,21,32959
3787,2021/10/27,22,31460
8143,2021/10/27,23,25150
2749,2021/10/28,0,17322
4195,2021/10/28,1,9942
8057,2021/10/28,2,5938
1495,2021/10/28,3,3917
5426,2021/10/28,4,3363
6872,2021/10/28,5,4538
1057,2021/10/28,6,9768
7419,2021/10/28,7,22625
8689,2021/10/28,8,30815
2288,2021/10/28,9,43552
7062,2021/10/28,10,43822
3760,2021/10/28,11,43532
7317,2021/10/28,12,42631
717,2021/10/28,13,41683
5832,2021/10/28,14,38867
8026,2021/10/28,15,48316
2580,2021/10/28,16,39909
4838,2021/10/28,17,33621
7336,2021/10/28,18,31094
2366,2021/10/28,19,32285
75,2021/10/28,20,33001
2747,2021/10/28,21,32578
6623,2021/10/28,22,31252
1480,2021/10/28,23,24091
2410,2021/10/29,0,16548
6987,2021/10/29,1,10064
1023,2021/10/29,2,6129
4896,2021/10/29,3,4067
4995,2021/10/29,4,3463
1426,2021/10/29,5,4842
4421,2021/10/29,6,11095
7858,2021/10/29,7,25606
2112,2021/10/29,8,29832
4692,2021/10/29,9,42691
3116,2021/10/29,10,44726
5529,2021/10/29,11,43648
1127,2021/10/29,12,45874
3649,2021/10/29,13,46016
6248,2021/10/29,14,42864
1256,2021/10/29,15,40998
5713,2021/10/29,16,34619
7716,2021/10/29,17,33044
970,2021/10/29,18,30524
5002,2021/10/29,19,30179
2161,2021/10/29,20,30346
6369,2021/10/29,21,29297
1174,2021/10/29,22,27746
3509,2021/10/29,23,22762
5118,2021/10/3,0,14227
8742,2021/10/3,1,9485
2774,2021/10/3,2,6043
4347,2021/10/3,3,3672
